word,transcription,definition,level,categories,raw
repair,/rɪˈpeər/,"to restore something damaged, faulty, or worn to a good condition.",A2,"Verbs;Work;Actions",
replace,/rɪˈpleɪs/,"to take the place of.",A2,"Verbs;Actions",
reply,/rɪˈplaɪ/,"to say something in response to something someone has said.",A2,"Verbs;Communication",
report,/rɪˈpɔːt/,"to give a spoken or written account of something that one has observed, heard, done, or investigated.",A2,"Verbs;Communication;Work",
reporter,/rɪˈpɔː.tər/,"a person who reports, especially one employed to report news or conduct interviews for newspapers or broadcasts.",A2,"Professions;Media;People",
request,/rɪˈkwest/,"an act of asking politely or formally for something.",A2,"Nouns;Verbs;Communication",
research,/rɪˈsɜːtʃ/,"the systematic investigation into and study of materials and sources in order to establish facts and reach new conclusions.",A2,"Education;Work;Nouns",
researcher,/rɪˈsɜː.tʃər/,"a person who carries out academic or scientific research.",A2,"Professions;Education;People",
respond,/rɪˈspɒnd/,"to say something in reply.",A2,"Verbs;Communication",
response,/rɪˈspɒns/,"a verbal or written answer.",A2,"Nouns;Communication",
rest,/rest/,"the remaining part of something.",A2,"Nouns;General",
review,/rɪˈvjuː/,"a formal assessment of something with the intention of instituting change if necessary.",A2,"Nouns;Verbs;Work",
ride,/raɪd/,"a journey made on horseback, a bicycle, or a motorcycle.",A2,"Nouns;Transport;Leisure",
ring,/rɪŋ/,"a small circular band, typically of precious metal and often set with one or more gemstones, worn on a finger as an ornament or a token of marriage, engagement, or authority.",A2,"Objects;Clothing;Nouns",
rise,/raɪz/,"to move from a lower position to a higher one; come or go up.",A2,"Verbs;Movement",
rock,/rɒk/,"the solid mineral material forming part of the surface of the earth and other similar planets, exposed on the surface or underlying the soil.",A2,"Nature;Objects;Nouns",
role,/rəʊl/,"an actor's part in a play, film, etc.",A2,"Nouns;Work;Arts",
roof,/ruːf/,"the structure forming the upper covering of a building or vehicle.",A2,"House;Objects;Nouns",
round,/raʊnd/,"shaped like a circle or cylinder.",A2,"Adjectives;Shapes",
route,/ruːt/,"a way or course taken in getting from a starting point to a destination.",A2,"Travel;Transport;Nouns",
rubbish,/ˈrʌb.ɪʃ/,"waste material; refuse or litter.",A2,"Objects;Nouns",
rude,/ruːd/,"offensively impolite or ill-mannered.",A2,"Adjectives;Feelings;Communication",
run,/rʌn/,"a period of running.",A2,"Nouns;Sports;Leisure",
runner,/ˈrʌn.ər/,"a person who runs, especially in a race or for exercise.",A2,"People;Sports;Nouns",
running,/ˈrʌn.ɪŋ/,"the action or movement of a runner.",A2,"Sports;Hobbies;Nouns",
sadly,/ˈsæd.li/,"in a sad manner.",A2,"Adverbs;Feelings",
safe,/seɪf/,"protected from or not exposed to danger or risk.",A2,"Adjectives;Health",
sail,/seɪl/,"to travel in a boat with sails, especially as a sport or recreation.",A2,"Verbs;Transport;Leisure",
sailing,/ˈseɪ.lɪŋ/,"the action of sailing a boat or ship.",A2,"Hobbies;Sports;Nouns",
salary,/ˈsæl.ər.i/,"a fixed regular payment, typically paid on a monthly basis, made by an employer to an employee.",A2,"Money;Work;Nouns",
sale,/seɪl/,"the exchange of a commodity for money; the action of selling something.",A2,"Shopping;Business;Nouns",
sauce,/sɔːs/,"a liquid or semi-liquid substance served with or used in preparing food.",A2,"Food;Nouns",
save,/seɪv/,"to keep safe or rescue someone or something from harm or danger.",A2,"Verbs;Actions",
scared,/skeəd/,"fearful; frightened.",A2,"Adjectives;Feelings",
scary,/ˈskeə.ri/,"frightening; causing fear.",A2,"Adjectives;Feelings",
scene,/siːn/,"the place where an incident in real life or fiction occurs or occurred.",A2,"Places;Arts;Nouns",
schedule,/ˈʃedʒ.uːl/,"a plan for carrying out a process or procedure, giving lists of intended events and times.",A2,"Time;Work;Nouns",
score,/skɔːr/,"to gain a point, goal, run, etc. in a game or contest.",A2,"Verbs;Sports",
screen,/skriːn/,"a flat panel or area on an electronic device such as a television, computer, or smartphone, on which images and data are displayed.",A2,"Technology;Objects;Media",
search,/sɜːtʃ/,"an act of searching for someone or something.",A2,"Nouns;Actions",
season,/ˈsiː.zən/,"each of the four divisions of the year (spring, summer, autumn, and winter) marked by particular weather patterns.",A2,"Seasons;Time;Nature",
seat,/siːt/,"a thing made or used for sitting on, such as a chair or bench.",A2,"Objects;Furniture;Nouns",
second,/ˈsek.ənd/,"for a second time.",A2,"Adverbs;Time",
secondly,/ˈsek.ənd.li/,"in the second place (used to introduce a second point or reason).",A2,"Adverbs;Grammar",
secret,/ˈsiː.krət/,"not known or seen or not meant to be known or seen by others.",A2,"Adjectives;Nouns",
secretary,/ˈsek.rə.tər.i/,"a person employed by an individual or in an office to assist with correspondence, keep records, and make appointments.",A2,"Professions;Work;People",
seem,/siːm/,"to give the impression of being something or having a particular quality.",A2,"Verbs;General",
sense,/sens/,"a faculty by which the body perceives an external stimulus; one of the faculties of sight, smell, hearing, taste, and touch.",A2,"Nouns;Body Parts",
separate,/ˈsep.ər.ət/,"forming or viewed as a unit apart or by itself.",A2,"Adjectives;General",
series,/ˈsɪə.riːz/,"a number of similar or related events or things, one following another.",A2,"Nouns;Media",
serious,/ˈsɪə.ri.əs/,"demanding or characterized by careful consideration or application.",A2,"Adjectives;Feelings",
serve,/sɜːv/,"to perform duties or services for another person or an organization.",A2,"Verbs;Work;Actions",
service,/ˈsɜː.vɪs/,"the action of helping or doing work for someone.",A2,"Nouns;Work",
several,/ˈsev.ər.əl/,"more than two but not many.",A2,"Determiners;Grammar",
shake,/ʃeɪk/,"to move an object backward and forward or up and down with short, quick movements.",A2,"Verbs;Actions",
shall,/ʃəl/,"expressing a strong assertion or intention.",A2,"Modals;Verbs;Grammar",
shape,/ʃeɪp/,"the external form, contours, or outline of someone or something.",A2,"Nouns;Shapes",
sheet,/ʃiːt/,"a large rectangular piece of cotton or other fabric, used on a bed to lie on or under.",A2,"Objects;House;Nouns",
ship,/ʃɪp/,"a large boat for transporting people or goods by sea or other large bodies of water.",A2,"Transport;Objects;Nouns",
shoulder,/ˈʃəʊl.dər/,"the upper joint of the human arm and the part of the body between this and the neck.",A2,"Body Parts;Nouns",
shout,/ʃaʊt/,"to speak or cry out with a loud voice.",A2,"Verbs;Communication",
shut,/ʃʌt/,"to move something into position so that it blocks an opening; close.",A2,"Verbs;Actions",
side,/saɪd/,"a position to the left or right of an object, place, or central point.",A2,"Nouns;General",
sign,/saɪn/,"a gesture or action used to convey information or an instruction.",A2,"Nouns;Communication",
silver,/ˈsɪl.vər/,"a precious shiny greyish-white metal.",A2,"Nouns;Colors;Objects",
simple,/ˈsɪm.pəl/,"easily understood or done; presenting no difficulty.",A2,"Adjectives;General",
since,/sɪns/,"in the intervening period between the time mentioned and the time under consideration.",A2,"Prepositions;Conjunctions;Time",
singing,/ˈsɪŋ.ɪŋ/,"the activity of making musical sounds with the voice.",A2,"Music;Hobbies;Nouns",
single,/ˈsɪŋ.ɡəl/,"only one; not one of several.",A2,"Adjectives;General",
sir,/sɜːr/,"used as a polite or respectful way of addressing a man, especially one in a position of authority.",A2,"People;Nouns",
site,/saɪt/,"an area of ground on which a town, building, or monument is constructed.",A2,"Places;Nouns",
size,/saɪz/,"the relative extent of something; a thing's overall dimensions or magnitude.",A2,"Size;Nouns",
ski,/skiː/,"to travel over snow on skis.",A2,"Verbs;Sports;Leisure",
skiing,/ˈskiː.ɪŋ/,"the action of travelling over snow on skis, especially as a sport or recreation.",A2,"Sports;Hobbies;Nouns",
skin,/skɪn/,"the thin layer of tissue forming the natural outer covering of the body of a person or animal.",A2,"Body Parts;Nouns",
sky,/skaɪ/,"the region of the atmosphere and outer space seen from the earth.",A2,"Nature;Nouns",
sleep,/sliːp/,"a condition of body and mind... (same as verb)",A2,"Nouns;Health",
slowly,/ˈsləʊ.li/,"at a slow speed.",A2,"Adverbs;Movement",
smartphone,/ˈsmɑːt.fəʊn/,"a mobile phone that performs many of the functions of a computer, typically having a touchscreen interface.",A2,"Technology;Objects;Nouns",
smell,/smel/,"to perceive or detect the odour or scent of something.",A2,"Verbs;Actions",
smile,/smaɪl/,"to form one's features into a pleased, kind, or amused expression.",A2,"Verbs;Feelings;Communication",
smoke,/sməʊk/,"a visible suspension of carbon or other particles in air, emitted from a burning substance.",A2,"Nouns;General",
smoking,/ˈsməʊ.kɪŋ/,"the action or habit of inhaling and exhaling the smoke of tobacco.",A2,"Nouns;Actions",
soap,/səʊp/,"a substance used with water for washing and cleaning, made of a compound of natural oils or fats with sodium hydroxide.",A2,"Objects;House;Nouns",
soccer,/ˈsɒk.ər/,"a form of football played by two teams of eleven players with a round ball, which may not be handled during play except by the goalkeepers.",A2,"Sports;Nouns",
social,/ˈsəʊ.ʃəl/,"relating to society or its organization.",A2,"Adjectives;Society",
society,/səˈsaɪ.ə.ti/,"the aggregate of people living together in a more or less ordered community.",A2,"Society;Nouns",
sock,/sɒk/,"a garment for the foot and lower part of the leg, typically knitted from wool, cotton, or nylon.",A2,"Clothing;Nouns",
soft,/sɒft/,"easy to mould, cut, compress, or fold; not hard or firm to the touch.",A2,"Adjectives;General",
soldier,/ˈsəʊl.dʒər/,"a person who serves in an army.",A2,"Professions;People;Nouns",
solution,/səˈluː.ʃən/,"a means of solving a problem or dealing with a difficult situation.",A2,"Nouns;General",
solve,/sɒlv/,"to find an answer to, explanation for, or means of effectively dealing with a problem.",A2,"Verbs;Actions",
somewhere,/ˈsʌm.weər/,"in or to some place.",A2,"Adverbs;Places",
sort,/sɔːt/,"a category of things or people with a common feature; a type.",A2,"Nouns;General",
source,/sɔːs/,"a place, person, or thing from which something originates or can be obtained.",A2,"Nouns;General",
speaker,/ˈspiː.kər/,"a person who speaks.",A2,"People;Nouns",
speech,/spiːtʃ/,"the expression of or the ability to express thoughts and feelings by articulate sounds.",A2,"Communication;Nouns",
speed,/spiːd/,"the rate at which someone or something moves or operates.",A2,"Nouns;Movement",
spider,/ˈspaɪ.dər/,"an eight-legged predatory arachnid with an unsegmented body consisting of a fused head and thorax and a rounded abdomen.",A2,"Animals;Nouns",
spoon,/spuːn/,"an implement consisting of a small shallow bowl, oval or round, at the end of a handle, used for eating, stirring, and serving food.",A2,"Objects;Food;Nouns",
square,/skweər/,"a plane figure with four equal straight sides and four right angles.",A2,"Adjectives;Nouns;Shapes",
stage,/steɪdʒ/,"a point, period, or step in a process or development.",A2,"Nouns;General",
stair,/steər/,"a set of steps leading from one floor of a building to another.",A2,"House;Objects;Nouns",
stamp,/stæmp/,"a small adhesive piece of paper stuck to something to show that an amount of money has been paid, in particular a postage stamp.",A2,"Objects;Nouns",
star,/stɑːr/,"to have a leading role in a film, play, or other production.",A2,"Verbs;Arts;Media",
start,/stɑːt/,"the point in time or space at which something begins.",A2,"Nouns;General",
state,/steɪt/,"the particular condition that someone or something is in at a specific time.",A2,"Nouns;General",
stay,/steɪ/,"a period of staying somewhere.",A2,"Nouns;Travel",
steal,/stiːl/,"to take another person's property without permission or legal right and without intending to return it.",A2,"Verbs;Actions",
step,/step/,"an act or movement of putting one leg in front of the other in walking or running.",A2,"Nouns;Movement",
stomach,/ˈstʌm.ək/,"the internal organ in which the major part of the digestion of food occurs.",A2,"Body Parts;Nouns",
stone,/stəʊn/,"hard solid non-metallic mineral matter of which rock is made.",A2,"Nature;Objects;Nouns",
store,/stɔːr/,"a shop of any size or kind.",A2,"Shopping;Places;Nouns",
storm,/stɔːm/,"a violent disturbance of the atmosphere with strong winds and usually rain, thunder, lightning, or snow.",A2,"Weather;Nature;Nouns",
straight,/streɪt/,"without a bend or curve.",A2,"Adverbs;Adjectives",
strange,/streɪndʒ/,"unusual or surprising; difficult to understand or explain.",A2,"Adjectives;Feelings",
strategy,/ˈstræt.ə.dʒi/,"a plan of action designed to achieve a long-term or overall aim.",A2,"Work;Business;Nouns",
stress,/stres/,"a state of mental or emotional strain or tension resulting from adverse or demanding circumstances.",A2,"Feelings;Health;Nouns",
structure,/ˈstrʌk.tʃər/,"the arrangement of and relations between the parts or elements of something complex.",A2,"Nouns;General",
stupid,/ˈstjuː.pɪd/,"having or showing a great lack of intelligence or common sense.",A2,"Adjectives;General",
succeed,/səkˈsiːd/,"to achieve the desired aim or result.",A2,"Verbs;Work",
successful,/səkˈses.fəl/,"accomplishing a desired aim or result.",A2,"Adjectives;Work",
such,/sʌtʃ/,"of the type previously mentioned.",A2,"Determiners;Grammar",
suddenly,/ˈsʌd.ən.li/,"quickly and unexpectedly.",A2,"Adverbs;Time",
suggest,/səˈdʒest/,"to put forward for consideration.",A2,"Verbs;Communication",
suggestion,/səˈdʒes.tʃən/,"an idea or plan put forward for consideration.",A2,"Nouns;Communication",
suit,/suːt/,"a set of outer clothes made of the same fabric and designed to be worn together, typically consisting of a jacket and trousers or a jacket and skirt.",A2,"Clothing;Nouns",
support,/səˈpɔːt/,"to bear all or part of the weight of; hold up.",A2,"Verbs;Actions",
suppose,/səˈpəʊz/,"to think that something is likely to be the case.",A2,"Verbs;Communication",
sure,/ʃɔːr/,"certainly (used for emphasis).",A2,"Adverbs;Grammar",
surprise,/səˈpraɪz/,"an unexpected or astonishing event, fact, etc.",A2,"Nouns;Feelings",
surprised,/səˈpraɪzd/,"feeling or showing surprise.",A2,"Adjectives;Feelings",
surprising,/səˈpraɪ.zɪŋ/,"causing surprise; unexpected.",A2,"Adjectives;Feelings",
survey,/ˈsɜː.veɪ/,"a general view, examination, or description of someone or something.",A2,"Nouns;Data;Work",
sweet,/swiːt/,"having the pleasant taste characteristic of sugar or honey; not salt, sour, or bitter.",A2,"Adjectives;Food",
symbol,/ˈsɪm.bəl/,"a thing that represents or stands for something else.",A2,"Nouns;Writing",
system,/ˈsɪs.təm/,"a set of things working together as parts of a mechanism or an interconnecting network.",A2,"Technology;Nouns",
tablet,/ˈtæb.lət/,"a small, flat, solid piece of medicine.",A2,"Health;Objects;Nouns",
talk,/tɔːk/,"a conversation or discussion.",A2,"Nouns;Communication",
target,/ˈtɑː.ɡɪt/,"a person, object, or place selected as the aim of an attack.",A2,"Nouns;General",
task,/tɑːsk/,"a piece of work to be done or undertaken.",A2,"Work;Nouns",
taste,/teɪst/,"the sensation of flavour perceived in the mouth and throat on contact with a substance.",A2,"Nouns;Feelings;Food",
teaching,/ˈtiː.tʃɪŋ/,"the occupation, profession, or work of a teacher.",A2,"Education;Work;Nouns",
technology,/tekˈnɒl.ə.dʒi/,"the application of scientific knowledge for practical purposes, especially in industry.",A2,"Technology;Nouns",
teenage,/ˈtiːn.eɪdʒ/,"relating to the years of a person's age from 13 to 19.",A2,"Adjectives;People",
temperature,/ˈtem.prə.tʃər/,"the degree or intensity of heat present in a substance or object.",A2,"Weather;Nouns",
term,/tɜːm/,"a word or phrase used to describe a thing or to express a concept, especially in a particular kind of language or branch of study.",A2,"Writing;Nouns",
text,/tekst/,"to send someone a text message.",A2,"Verbs;Communication;Technology",
themselves,/ðəmˈselvz/,"used as the object of a verb or preposition to refer to a group of people or things previously mentioned as the subject of the clause.",A2,"Pronouns;Grammar",
thick,/θɪk/,"with opposite sides or surfaces that are a great or specified distance apart.",A2,"Adjectives;Size",
thief,/θiːf/,"a person who steals another person's property.",A2,"People;Society;Nouns",
thin,/θɪn/,"with opposite sides or surfaces that are close together.",A2,"Adjectives;Size",
thinking,/ˈθɪŋ.kɪŋ/,"the process of using your mind to consider something carefully.",A2,"Nouns;General",
third,/θɜːd/,"one of three equal parts of something.",A2,"Nouns;Math",
thought,/θɔːt/,"an idea or opinion produced by thinking, or occurring suddenly in the mind.",A2,"Nouns;Communication",
throw,/θrəʊ/,"to propel something with force through the air by a movement of the arm and hand.",A2,"Verbs;Actions;Sports",
tidy,/ˈtaɪ.di/,"arranged neatly and in order.",A2,"Adjectives;House",
tie,/taɪ/,"to attach or fasten with string or a similar cord.",A2,"Verbs;Clothing",
tip,/tɪp/,"a small but useful piece of practical advice.",A2,"Nouns;Communication",
tool,/tuːl/,"a device or implement, especially one held in the hand, used to carry out a particular function.",A2,"Objects;Work;Nouns",
top,/tɒp/,"the highest or uppermost point, part, or surface of something.",A2,"Nouns;Adjectives",
touch,/tʌtʃ/,"to come into or be in contact with.",A2,"Verbs;Actions",
tour,/tʊər/,"a journey for pleasure in which several different places are visited.",A2,"Travel;Leisure;Nouns",
tourism,/ˈtʊə.rɪ.zəm/,"the commercial organization and operation of holidays and visits to places of interest.",A2,"Travel;Business;Nouns",
towards,/təˈwɔːdz/,"in the direction of.",A2,"Prepositions;Movement",
towel,/ˈtaʊ.əl/,"a piece of absorbent cloth or paper used for drying oneself or wiping things dry.",A2,"Objects;House;Nouns",
tower,/ˈtaʊ.ər/,"a tall, narrow building, either free-standing or forming part of a building such as a church or castle.",A2,"Buildings;Places;Nouns",
toy,/tɔɪ/,"an object for a child to play with.",A2,"Objects;Leisure;Nouns",
track,/træk/,"a rough path or road, typically one made by the passage of people or vehicles.",A2,"Nouns;Places",
tradition,/trəˈdɪʃ.ən/,"the transmission of customs or beliefs from generation to generation.",A2,"Society;Nouns",
traditional,/trəˈdɪʃ.ən.əl/,"existing in or as part of a tradition; long-established.",A2,"Adjectives;Society",
train,/treɪn/,"to teach a person or animal a particular skill or type of behaviour through practice and instruction over a period of time.",A2,"Verbs;Education;Work",
trainer,/ˈtreɪ.nər/,"a person who trains people or animals.",A2,"Professions;People;Sports",
training,/ˈtreɪ.nɪŋ/,"the action of teaching a person or animal a particular skill or type of behaviour.",A2,"Education;Work;Nouns",
transport,/ˈtræn.spɔːt/,"a system or means of conveying people or goods from place to place.",A2,"Transport;Nouns",
traveller,/ˈtræv.əl.ər/,"a person who is travelling or who often travels.",A2,"Travel;People;Nouns",
trouble,/ˈtrʌb.əl/,"difficulty or problems.",A2,"Nouns;General",
truck,/trʌk/,"a large, heavy motor vehicle used for transporting goods, materials, or troops.",A2,"Transport;Objects;Nouns",
twin,/twɪn/,"one of two children or animals born at the same birth.",A2,"Family;People;Nouns",
typical,/ˈtɪp.ɪ.kəl/,"having the distinctive qualities of a particular type of person or thing.",A2,"Adjectives;General",
underground,/ˌʌn.dəˈɡraʊnd/,"situated beneath the surface of the ground.",A2,"Adjectives;Transport;Places",
understanding,/ˌʌn.dəˈstæn.dɪŋ/,"the ability to understand something; comprehension.",A2,"Nouns;Communication",
unfortunately,/ʌnˈfɔː.tʃən.ət.li/,"it is unfortunate that.",A2,"Adverbs;Grammar",
unhappy,/ʌnˈhæp.i/,"not happy.",A2,"Adjectives;Feelings",
uniform,/ˈjuː.nɪ.fɔːm/,"the distinctive clothing worn by members of the same organization or body or by children attending certain schools.",A2,"Clothing;Nouns",
unit,/ˈjuː.nɪt/,"an individual thing or person regarded as single and complete but which can also form an individual component of a larger or more complex whole.",A2,"Nouns;General",
united,/juːˈnaɪ.tɪd/,"joined together politically, for a common purpose, or by common feelings.",A2,"Adjectives;Society",
unusual,/ʌnˈjuː.ʒu.əl/,"not habitually or commonly occurring or done.",A2,"Adjectives;General",
upstairs,/ˌʌpˈsteəz/,"of, on, or to an upper floor of a building.",A2,"Adjectives;House",
use,/juːs/,"the action of using something or the state of being used for a purpose.",A2,"Nouns;Actions",
used to,/ˈjuːst tuː/,"familiar with something or someone.",A2,"Modals;Verbs;Grammar",
user,/ˈjuː.zər/,"a person who uses or operates something, especially a computer or other machine.",A2,"People;Technology;Nouns",
usual,/ˈjuː.ʒu.əl/,"habitually or typically occurring or done; customary.",A2,"Adjectives;General",
valley,/ˈvæl.i/,"a low area of land between hills or mountains, typically with a river or stream flowing through it.",A2,"Geography;Nature;Places",
van,/væn/,"a medium-sized motor vehicle, typically without side windows in the rear part, for transporting goods.",A2,"Transport;Objects;Nouns",
variety,/vəˈraɪ.ə.ti/,"the quality or state of being different or diverse; the absence of uniformity or monotony.",A2,"Nouns;General",
vehicle,/ˈvɪə.kəl/,"a thing used for transporting people or goods, especially on land, such as a car, lorry, or cart.",A2,"Transport;Objects;Nouns",
view,/vjuː/,"the ability to see something or to be seen from a particular place.",A2,"Nouns;General",
virus,/ˈvaɪə.rəs/,"an infective agent that typically consists of a nucleic acid molecule in a protein coat, is too small to be seen by light microscopy, and is able to multiply only within the living cells of a host.",A2,"Health;Nouns",
voice,/vɔɪs/,"the sound produced in a person's larynx and uttered through the mouth, as speech or song.",A2,"Nouns;Body Parts;Communication",
wait,/weɪt/,"a period of waiting.",A2,"Nouns;Time",
war,/wɔːr/,"a state of armed conflict between different countries or different groups within a country.",A2,"Society;Events;Nouns",
wash,/wɒʃ/,"an act of washing something.",A2,"Nouns;Actions",
washing,/ˈwɒʃ.ɪŋ/,"a quantity of clothes, bedlinen, etc. that have been or are about to be washed.",A2,"Nouns;House",
wave,/weɪv/,"a long body of water curling into an arched form and breaking on the shore.",A2,"Nature;Nouns",
weak,/wiːk/,"lacking the power to perform physically demanding tasks; having little physical strength or energy.",A2,"Adjectives;Health",
web,/web/,"a network of fine threads constructed by a spider from fluid secreted by its spinnerets, used to catch its prey.",A2,"Nature;Technology;Nouns",
wedding,/ˈwed.ɪŋ/,"a marriage ceremony, especially one considered as including the associated celebrations.",A2,"Events;Family;Nouns",
weight,/weɪt/,"a body's relative mass or the quantity of matter contained by it, giving rise to a downward force; the heaviness of a person or thing.",A2,"Nouns;Health;Math",
welcome,/ˈwel.kəm/,"a greeting or reception.",A2,"Nouns;Phrases",
wet,/wet/,"covered or saturated with water or another liquid.",A2,"Adjectives;Weather",
wheel,/wiːl/,"a circular object that revolves on an axle and is fixed below a vehicle or other object to enable it to move easily over the ground.",A2,"Transport;Objects;Nouns",
while,/waɪl/,"during the time that; at the same time as.",A2,"Conjunctions;Grammar",
whole,/həʊl/,"all of; entire.",A2,"Adjectives;General",
whose,/huːz/,"belonging to or associated with which person.",A2,"Pronouns;Determiners;Grammar",
wide,/waɪd/,"of great or more than average width.",A2,"Adjectives;Size",
wild,/waɪld/,"(of an animal or plant) living or growing in the natural environment; not domesticated or cultivated.",A2,"Adjectives;Nature;Animals",
wind,/wɪnd/,"the perceptible natural movement of the air, especially in the form of a current of air blowing from a particular direction.",A2,"Weather;Nature;Nouns",
winner,/ˈwɪn.ər/,"a person or thing that wins something.",A2,"People;Nouns",
wish,/wɪʃ/,"to feel or express a strong desire or hope for something that is not easily attainable.",A2,"Verbs;Feelings",
wood,/wʊd/,"the hard fibrous material forming the main substance of the trunk or branches of a tree or shrub.",A2,"Nature;Objects;Nouns",
wooden,/ˈwʊd.ən/,"made of wood.",A2,"Adjectives;Objects",
working,/ˈwɜː.kɪŋ/,"relating to work or employment.",A2,"Adjectives;Work",
worried,/ˈwʌr.id/,"anxious or troubled about actual or potential problems.",A2,"Adjectives;Feelings",
worry,/ˈwʌr.i/,"to feel or cause to feel anxious or troubled about actual or potential problems.",A2,"Verbs;Feelings",
worse,/wɜːs/,"of poorer quality or lower standard.",A2,"Adjectives;General",
worst,/wɜːst/,"of the poorest quality or lowest standard.",A2,"Adjectives;General",
wow,/waʊ/,"expressing great surprise or admiration.",A2,"Interjections;Phrases",
yet,/jet/,"up until the present or a specified or implied time; by now or then.",A2,"Adverbs;Grammar",
yours,/jɔːz/,"used to refer to a thing or things belonging to or associated with the person or people that the speaker is addressing.",A2,"Pronouns;Grammar",
zero,/ˈzɪə.rəʊ/,"no quantity or number; nought; the figure 0.",A2,"Math;Nouns",
IT,/ˌaɪˈtiː/,"Information Technology.",B1,"Technology;Nouns;Abbreviations",
absolutely,/ˌæb.səˈluːt.li/,"with no qualification, restriction, or limitation; totally.",B1,"Adverbs;Grammar",
academic,/ˌæk.əˈdem.ɪk/,"relating to education and scholarship.",B1,"Adjectives;Education",
access,/ˈæk.ses/,"the means or opportunity to approach or enter a place.",B1,"Nouns;Verbs",
accommodation,/əˌkɒm.əˈdeɪ.ʃən/,"a room, group of rooms, or building in which someone may live or stay.",B1,"Places;House;Travel",
account,/əˈkaʊnt/,"a report or description of an event or experience.",B1,"Money;Nouns",
achievement,/əˈtʃiːv.mənt/,"a thing done successfully, typically by effort, courage, or skill.",B1,"Nouns;Work",
act,/ækt/,"a thing done; a deed.",B1,"Nouns;Actions",
ad,/æd/,"an advertisement.",B1,"Media;Business;Nouns",
addition,/əˈdɪʃ.ən/,"the action or process of adding something to something else.",B1,"Math;Nouns",
admire,/ədˈmaɪər/,"to regard an object, quality, or person with respect or warm approval.",B1,"Verbs;Feelings",
admit,/ədˈmɪt/,"to confess to be true or to be the case.",B1,"Verbs;Communication",
advanced,/ədˈvɑːnst/,"far on or ahead in development or progress.",B1,"Adjectives;General",
advise,/ədˈvaɪz/,"to offer suggestions about the best course of action to someone.",B1,"Verbs;Communication;Work",
afford,/əˈfɔːd/,"to have enough money to pay for.",B1,"Verbs;Money;Shopping",
age,/eɪdʒ/,"to grow old or older.",B1,"Verbs;Time",
aged,/eɪdʒd/,"of the age of.",B1,"Adjectives;Time",
agent,/ˈeɪ.dʒənt/,"a person who acts on behalf of another person or group.",B1,"Professions;People;Nouns",
agreement,/əˈɡriː.mənt/,"harmony or accordance in opinion or feeling.",B1,"Communication;Nouns",
ahead,/əˈhed/,"further forward in space; in the line of one's forward motion.",B1,"Adverbs;Movement",
aim,/eɪm/,"to point or direct a weapon or camera at a target.",B1,"Verbs;Actions",
alarm,/əˈlɑːm/,"an anxious awareness of danger.",B1,"Nouns;Feelings",
album,/ˈæl.bəm/,"a collection of recordings issued as a single item on CD, record, or another medium.",B1,"Music;Media;Objects",
alcohol,/ˈæl.kə.hɒl/,"a colourless volatile flammable liquid which is the intoxicating constituent of wine, beer, spirits, and other drinks.",B1,"Drinks;Nouns",
alcoholic,/ˌæl.kəˈhɒl.ɪk/,"containing or relating to alcohol.",B1,"Adjectives;Drinks",
alternative,/ɔːlˈtɜː.nə.tɪv/,"(of one or more things) available as another possibility.",B1,"Adjectives;General",
amazed,/əˈmeɪzd/,"greatly surprised; astonished.",B1,"Adjectives;Feelings",
ambition,/æmˈbɪʃ.ən/,"a strong desire to do or achieve something.",B1,"Nouns;Work;Feelings",
ambitious,/æmˈbɪʃ.əs/,"having or showing a strong desire and determination to succeed.",B1,"Adjectives;Work;Feelings",
analyse,/ˈæn.əl.aɪz/,"to examine something methodically and in detail, typically in order to explain and interpret it.",B1,"Verbs;Work;Data",
analysis,/əˈnæl.ə.sɪs/,"detailed examination of the elements or structure of something.",B1,"Nouns;Work;Data",
announce,/əˈnaʊns/,"to make a formal public statement about a fact, occurrence, or intention.",B1,"Verbs;Communication",
announcement,/əˈnaʊns.mənt/,"a formal public statement.",B1,"Nouns;Communication",
annoy,/əˈnɔɪ/,"to irritate or bother someone.",B1,"Verbs;Feelings",
annoyed,/əˈnɔɪd/,"slightly angry; irritated.",B1,"Adjectives;Feelings",
annoying,/əˈnɔɪ.ɪŋ/,"causing irritation or annoyance.",B1,"Adjectives;Feelings",
apart,/əˈpɑːt/,"(of two or more people or things) separated by a distance.",B1,"Adverbs;General",
apologize,/əˈpɒl.ə.dʒaɪz/,"to express regret for something that one has done wrong.",B1,"Verbs;Communication",
application,/ˌæp.lɪˈkeɪ.ʃən/,"a formal request to an authority for something.",B1,"Nouns;Work;Education",
appointment,/əˈpɔɪnt.mənt/,"an arrangement to meet someone at a particular time and place.",B1,"Nouns;Work;Events",
appreciate,/əˈpriː.ʃi.eɪt/,"to recognize the full worth of.",B1,"Verbs;Feelings",
approximately,/əˈprɒk.sɪ.mət.li/,"used to show that something is almost, but not completely, accurate or exact; roughly.",B1,"Adverbs;Math",
arrest,/əˈrest/,"to seize someone by legal authority and take them into custody.",B1,"Verbs;Society",
arrival,/əˈraɪ.vəl/,"the action or process of arriving.",B1,"Nouns;Travel;Movement",
assignment,/əˈsaɪn.mənt/,"a task or piece of work allocated to someone as part of a job or course of study.",B1,"Nouns;Work;Education",
assist,/əˈsɪst/,"to help someone, typically by doing a share of the work.",B1,"Verbs;Work;Actions",
